Time,Roller Count,Barcode,AC_X,AC_Y,AC_Z,GY_X,GY_Y,GY_Z,Pressure,Thermal,Trash
09/04/2020 08:34:09.816,0,START,0.029296875,-0.0205078125,0.970703125,-1.46484375,1.03759765625,-1.64794921875,101300,LEFT,
09/04/2020 08:34:09.956,0,,0.0390625,-0.001953125,1.029296875,-1.708984375,0.79345703125,-1.5869140625,101301,LEFT,
09/04/2020 08:34:10.030,0,,0.0361328125,-0.021484375,0.9765625,-1.40380859375,0.30517578125,-1.0986328125,101301,LEFT,
09/04/2020 08:34:10.177,0,,0.0380859375,-0.0234375,0.982421875,-1.953125,0.30517578125,-1.52587890625,101301,LEFT,
09/04/2020 08:34:10.265,0,,0.044921875,-0.01953125,1.0029296875,-2.0751953125,0.91552734375,-1.03759765625,101301,,
09/04/2020 08:34:10.397,0,,0.0439453125,-0.0029296875,1.01953125,-1.28173828125,0.79345703125,-1.46484375,101301,LEFT,
09/04/2020 08:34:10.489,0,,0.0361328125,-0.017578125,1.01171875,-1.52587890625,0.42724609375,-1.0986328125,101301,,
09/04/2020 08:34:10.605,0,,0.03125,-0.0205078125,1.0068359375,-1.52587890625,0.732421875,-1.03759765625,101301,,
09/04/2020 08:34:10.720,0,,0.048828125,-0.0166015625,0.9912109375,-1.3427734375,0.8544921875,-1.64794921875,101301,,
09/04/2020 08:34:10.823,0,,0.0439453125,-0.0087890625,1.0146484375,-1.89208984375,0.3662109375,-1.03759765625,101301,,
09/04/2020 08:34:10.982,0,,0.0361328125,-0.005859375,1.0107421875,-1.77001953125,0.732421875,-1.46484375,101301,,
09/04/2020 08:34:11.089,0,,0.0341796875,-0.025390625,0.9775390625,-1.77001953125,0.67138671875,-1.52587890625,101301,,
09/04/2020 08:34:11.200,0,,0.0283203125,-0.0146484375,0.9912109375,-2.01416015625,0.54931640625,-0.8544921875,101301,,
09/04/2020 08:34:11.297,0,,0.0400390625,-0.015625,0.982421875,-1.03759765625,0.67138671875,-0.9765625,101301,,
09/04/2020 08:34:11.416,0,,0.0322265625,-0.0087890625,1.0029296875,-1.52587890625,0.30517578125,-1.220703125,101301,,
09/04/2020 08:34:11.503,0,,0.0400390625,0.009765625,0.9697265625,-1.03759765625,0.54931640625,-1.8310546875,101301,,
09/04/2020 08:34:11.672,0,,0.0400390625,-0.017578125,0.97265625,-1.77001953125,0.91552734375,-1.52587890625,101301,,
09/04/2020 08:34:11.744,0,,0.0029296875,0.0712890625,1.0556640625,0.91552734375,2.197265625,-1.15966796875,101301,,
09/04/2020 08:34:11.815,0,,0.0322265625,-0.0224609375,0.95703125,-2.197265625,0.8544921875,-0.91552734375,101301,,
09/04/2020 08:34:11.947,0,,0.0517578125,0.0283203125,1.06640625,-1.40380859375,0.0,-1.28173828125,101301,,
09/04/2020 08:34:12.078,0,,0.033203125,-0.021484375,0.9599609375,-2.3193359375,0.244140625,-1.28173828125,101301,,
